Model, Device, People, Time
mobilenetv2_x1_4, cpu, 5, 3.0458547711372375
mobilenetv2_x1_4, cpu, 10, 4.630357313156128
mobilenetv2_x1_4, cpu, 15, 6.1193283796310425
mobilenetv2_x1_4, cuda, 5, 0.24835134744644166
mobilenetv2_x1_4, cuda, 10, 0.2034472942352295
mobilenetv2_x1_4, cuda, 15, 0.3202861428260803
osnet_x1_0, cpu, 5, 5.1684818983078005
osnet_x1_0, cpu, 10, 8.862869894504547
osnet_x1_0, cpu, 15, 12.66633403301239
osnet_x1_0, cuda, 5, 0.18560107946395873
osnet_x1_0, cuda, 10, 0.373884391784668
osnet_x1_0, cuda, 15, 0.5619559645652771
