ID,model,preprocessing,vl,Camera_0,Camera_1,Camera_2,Camera_3,Camera_4,Camera_5,Camera_6,Camera_7,Camera_8,Camera_9
0,ResNet,ed,15,33.8629261996295,42.01132260277158,44.08808285549349,208.96489746929848,32.507857603185315,31.739874054403867,347.73259897701075,44.67537593841553,95.34177429199218,62.22605655067846
1,ResNet,ed,30,42.300868047426825,48.51743818688269,48.96946041400616,67.05465327671595,35.289096416387345,51.63983692842371,92.19153588665418,46.14859962463379,72.45889770507813,59.18311747233073
2,ResNet,ed,50,42.86721220084116,42.16097891671317,38.828382219587056,71.23485892159599,43.79963658860893,42.08944993860581,183.98874104817708,46.58917336935525,81.41512390136718,80.92681663623755
3,ResNet,sw-o,15,47.65743102624094,39.626299386358305,46.37916859805945,62.338880117035195,45.12308747268938,68.09307509873726,102.62415514972105,31.119695431610136,60.16680488999144,68.35298696437388
4,ResNet,sw-o,30,56.824766423370896,46.53091611713021,61.02932769850718,96.97561565529988,84.3334667745022,37.494148326849285,67.66089323623576,28.81397452119618,98.01933173597392,98.53397062676049
5,ResNet,irw,15,54.372347521038975,43.54967182571193,57.50286843252926,38.947989691457444,118.50117229885525,27.20046082424252,109.07233377591338,62.38906002952939,78.0316207510526,71.15838241577148
6,ResNet,irw,30,65.83164119271319,40.934915747379236,54.39033416380365,37.88414773428312,85.13588591473933,22.08180339841077,81.7012344637784,43.72517893104356,63.39521484375,65.18721705307195
7,ResNet,irw,50,59.608075264548155,63.5943489074707,59.07867104666574,35.18324928283691,77.35630957285564,59.22215708748239,89.01156857512719,46.6543053322174,78.53104675292968,90.80889652911281
8,ResNet,last,15,37.012206154900625,90.44286033524895,31.114037289826765,30.475035654355402,32.56993000002673,9.221819484935088,71.88118806432504,41.75193691253662,52.23664825439453,47.72819438733553
9,ResNet,last,30,23.70658169054005,63.76669666020557,30.499851112541513,36.88118225420025,20.649826791551376,12.163259506225586,64.54832883741035,42.377283891042076,78.3853369140625,47.90983581542969
10,ResNet,last,50,38.69700928392081,75.93303811678322,42.32604160979765,25.81356077703811,20.913163853442576,10.73095557268928,50.62285178949025,41.602943907392785,81.36794860839844,60.135109055210165
